,CompetitionID,SeasonID,GameDay,Home Team,Away Team,Result,Attendance
0,ALB1,2023,24,KF Laçi,Dinamo,1:1,350
1,EGY1,2023,2,Baladiya,Smouha,0:2,2000
2,AR1N,2023,2,River Plate,CAB,3:0,84567
3,EGY1,2023,2,Ismaily,Ittiha,3:1,6000
4,AR1N,2023,1,Argentinos Jrs.,CARC,3:2,24350
5,ALB1,2023,17,KF Erzeni,Teuta,0:0,300
6,ALB1,2023,23,Dinamo City,PAR,2:1,500
7,AR1N,2023,1,Godoy Cruz,CABC,0:1,7200
8,AR1N,2023,1,River Plate,CACC,3:0,84567
9,AR1N,2023,3,Argentinos Jrs.,CARP,1:0,26000
10,AR1N,2023,3,Sarmiento Junin,CS Ind,0:1,4500
11,ARG2,2023,1,Chacarita Jrs.,CDM,2:0,14000
12,ARG2,2023,3,Estudiantes,QUI,1:2,6500
13,ARG2,2023,5,CD Morón,CAST,1:2,13000
14,ARG2,2023,5,Arsenal Sarandí,CASM,1:0,3500
15,ARG2,2023,10,San Miguel,CST,3:2,7000
16,AR1N,2023,3,Lanús,EdeLP,2:1,8100
17,AR1N,2023,2,Instituto ACC,CAU,1:1,26235
18,ARG2,2023,4,San Telmo,NVACH,1:0,3500
19,EGY1,2023,1,Ittihad Alex,CFC,1:0,5000
20,AR1N,2023,2,San Lorenzo,Lanús,1:1,42400
21,ARG2,2023,5,Nueva Chicago,AdR,2:0,13000
22,ARG2,2023,5,CA Temperley,CA Cha,1:1,7020
23,ARG2,2023,7,Arsenal Sarandí,CAT,2:1,3500
24,AR1N,2023,1,Unión Santa Fe,CAB,1:0,29600
25,AR1N,2023,2,Rosario Central,Tigre,1:1,41580
26,ARG2,2023,1,Quilmes,CAT,2:0,10000
27,ARG2,2023,1,Arsenal Sarandí,CAG,1:1,3500
28,ARG2,2023,4,Atlanta,CAA,0:2,8000
29,ARG2,2023,7,Brown (Adrogué),CAST,0:0,1400
30,ARG2,2023,7,CD Morón,CSDM,0:0,14000
31,ARG2,2023,7,San Martín (T),CAE,2:0,14000
32,ARG2,2023,8,Estudiantes,ARSE,1:0,3000
33,ARG2,2023,9,CD Morón,Atlant,3:0,13000
34,ARG2,2023,10,San Martín (T),ARSE,3:0,15000
35,ARG2,2023,11,Def. Belgrano,CSDM,2:3,3000
36,AR1N,2023,2,Banfield,HUR,1:1,27800
37,ARG2,2023,1,San Martín (T),GyE J,1:0,18000
38,ARG2,2023,3,Talleres RE,CAB,2:0,2700
39,ARG2,2023,4,Almagro,CAB,0:0,6000
40,ARG2,2023,9,Arsenal Sarandí,CACHJ,3:1,2000
41,ARG2,2023,9,CA Temperley,CADU,0:0,7000
42,ARG2,2023,9,All Boys,CASM,0:0,4545
43,ARG2,2023,11,CA Temperley,Club A,1:1,8000
44,AR1N,2023,1,Sarmiento Junin,IACC,1:2,3650
45,ALB1,2023,28,KF Teuta,PAR,1:0,500
46,ARG2,2023,2,Def. Belgrano,NVACH,1:0,2000
47,ARG2,2023,3,Nueva Chicago,CA Cha,2:0,12000
48,ARG2,2023,6,Almirante Brown,Mitre,2:0,6000
49,ARG2,2023,7,All Boys,CDM,3:2,6500
50,ARG2,2023,10,Almirante Brown,CDM,1:1,12000
51,ARG2,2023,11,Tristan Suarez,QUI,1:3,1760
52,ARG2,2023,11,Arsenal Sarandí,CAST,0:0,3000
53,EGY1,2023,1,El Mokawloon,Baladi,0:2,4000
54,ARG2,2023,4,Def. Belgrano,CAT,0:0,4000
55,ARG2,2023,6,Talleres RE,Club A,1:3,3545
56,AR1N,2023,1,Belgrano,Racing,4:4,34830
57,EGY1,2023,2,El Masry,Pharco,1:0,2000
58,AR1N,2023,1,Tigre,EdeLP,0:1,7450
59,AR1N,2023,1,Gimnasia,Vélez,3:1,26000
60,ARG2,2023,1,CD Morón,CAB,3:0,15000
61,ARG2,2023,1,Talleres RE,CASM,0:0,3000
62,ARG2,2023,5,Brown (Adrogué),CADB,0:3,1540
63,ARG2,2023,8,Almirante Brown,GEM,0:0,8000
64,ARG2,2023,10,Chacarita Jrs.,SMSJ,1:1,12000
65,ARG2,2023,10,Talleres RE,CAA,1:5,3016
66,ARG2,2023,10,Estudiantes,Brown,2:1,5500
67,AR1N,2023,1,Lanús,CS Ind,0:2,8000
68,AR1N,2023,2,Defensa,GELP,1:1,8000
69,AR1N,2023,2,Central Córdoba,CABJ,2:4,18800
70,AR1N,2023,3,Dep. Riestra,CARC,0:2,950
71,ARG2,2023,4,Talleres RE,CAE,0:1,2520
72,ARG2,2023,4,San Miguel,Club A,1:0,7000
73,ARG2,2023,6,Atlanta,GYT,1:1,1500
74,ARG2,2023,7,Almagro,CA Cha,0:0,1400
75,ARG2,2023,9,Nueva Chicago,Club A,1:0,18000
76,ARG2,2023,11,Nueva Chicago,AAE,0:1,9200
77,ALB1,2023,25,Dinamo City,VLLA,0:1,500
78,EGY1,2023,2,Zamalek,El Mok,1:1,3000
79,AR1N,2023,2,Ind. Rivadavia,CDGCAT,0:0,24000
80,AR1N,2023,3,Tigre,Racing,0:4,8000
81,ARG2,2023,1,Nueva Chicago,Club A,1:0,16000
82,ARG2,2023,7,Tristan Suarez,GyE J,2:1,2100
83,ARG2,2023,8,San Telmo,Club A,4:1,3000
84,ARG2,2023,10,Quilmes,CA All,1:0,18000
85,ARG2,2023,11,CD Morón,Colón,0:2,10000
86,AR1N,2023,1,Atl. Tucumán,CABJ,1:0,35200
87,AR1N,2023,2,Platense,CAI,0:0,26200
88,AR1N,2023,2,CA Talleres,CAT,2:0,52500
89,AR1N,2023,2,Barracas C.,CAS,1:1,1000
90,ARG2,2023,3,CD Morón,CADB,0:4,13000
91,ARG2,2023,7,CA Temperley,AdR,1:1,8000
92,ARG2,2023,9,Brown (Adrogué),CSDM,0:1,1200
93,AR1N,2023,1,Huracán,DyJ,3:1,17740
94,AR1N,2023,1,Independiente,CAT,1:3,40885
95,AR1N,2023,2,Estudiantes LP,CDR,2:0,32530
96,AR1N,2023,2,Racing Club,AAAJ,3:0,49550
97,AR1N,2023,3,Belgrano,CACC,2:1,30200
98,ARG2,2023,1,All Boys,CST,1:0,4200
99,ARG2,2023,1,Almirante Brown,Atlant,0:1,8000
100,ARG2,2023,2,San Telmo,GYT,1:1,4500
101,ARG2,2023,3,Tristan Suarez,CAP,0:1,1600
102,ARG2,2023,6,San Telmo,CAT,3:0,1200
103,ARG2,2023,9,Almagro,AdR,1:0,3200
104,ARG2,2023,9,Def. Belgrano,CAST,0:1,4030
105,ARG2,2023,11,Brown (Adrogué),Atlant,2:3,650
106,ALB1,2023,27,KF Erzeni,PAR,0:4,500
107,EGY1,2023,1,El Ahly,Masry,4:0,6000
108,AR1N,2023,2,Vélez Sarsfield,NOB,1:0,43150
109,AR1N,2023,3,Gimnasia,CAB,3:0,26000
110,ARG2,2023,2,San Miguel,CAE,0:0,7000
111,ARG2,2023,4,Ferro,ARSE,1:1,5000
112,ARG2,2023,5,San Martín (T),QUI,0:0,12000
113,ARG2,2023,12,Atlanta,Club A,3:0,5500
114,AR1N,2023,1,Dep. Riestra,CASLA,1:0,1100
115,AR1N,2023,3,Huracán,IACC,1:0,12500
116,ARG2,2023,6,Quilmes,ARSE,0:0,14000
117,AR1N,2023,1,Newell's,CAP,2:0,42000
118,AR1N,2023,3,Boca Juniors,CAT,0:0,57200
119,AR1N,2023,3,Atl. Tucumán,CAP,1:1,21300
120,ARG2,2023,1,Agropecuario,CAP,1:0,300
121,ARG2,2023,12,Estudiantes,CA All,1:1,4000
122,ALB1,2023,31,Dinamo City,Erzeni,2:0,800
123,AR1N,2023,3,Newell's,DyJ,1:0,42000
124,ARG2,2023,6,Estudiantes,CACHJ,0:0,5000
125,ARG2,2023,6,Def. Belgrano,Club A,0:0,2000
126,ARG2,2023,8,Talleres RE,SMSJ,0:0,1520
127,ARG2,2023,8,Ferro,CA All,2:2,8000
128,ARG2,2023,13,San Telmo,CSDM,2:1,5500
129,ARG2,2023,13,Agropecuario,Club A,0:1,300
130,CDLP,2023,1,Central Córdoba,NOB,0:1,16000
131,ARG2,2023,12,Chacarita Jrs.,CAA,2:1,9000
132,CDLP,2023,1,Barracas C.,Vélez,1:1,1700
133,CDLP,2023,2,Gimnasia,CS Ind,2:3,27717
134,ARG2,2023,12,Almirante Brown,CAB,1:2,3800
135,ARG2,2023,13,CA Temperley,AAE,0:1,12000
136,ARG2,2023,14,Atlanta,CA Cha,1:0,6000
137,CDLP,2023,1,Instituto ACC,CDR,0:0,26535
138,CDLP,2023,2,Belgrano,CASLA,1:1,34830
139,ARG2,2023,13,Almagro,Club A,1:0,2000
140,CDLP,2023,1,Ind. Rivadavia,CAI,0:1,24000
141,CDLP,2023,2,Defensa,CAP,3:0,16000
142,CDLP,2023,3,Sarmiento Junin,DyJ,2:3,4630
143,CDLP,2023,4,Huracán,CAI,0:0,22200
144,CDLP,2023,1,Platense,CABJ,0:0,26850
145,CDLP,2023,1,Estudiantes LP,CAB,1:0,32530
146,CDLP,2023,2,Lanús,NOB,0:2,5500
147,CDLP,2023,3,Atl. Tucumán,AAAJ,0:0,30300
148,ARG2,2023,13,Def. Belgrano,Atlant,2:0,2800
149,CDLP,2023,2,Boca Juniors,CAS,1:1,29000
150,CDLP,2023,2,Vélez Sarsfield,CAI,0:1,42650
151,CDLP,2023,3,Ind. Rivadavia,HUR,2:0,24000
152,CDLP,2023,3,Estudiantes LP,Racing,0:0,32530
153,CDLP,2023,4,Racing Club,CASLA,4:1,49509
154,ARG2,2023,13,Brown (Adrogué),Colón,0:4,1145
155,CDLP,2023,1,Banfield,HUR,0:2,32600
156,CDLP,2023,2,Rosario Central,CAB,0:0,41654
157,ARG2,2023,12,Arsenal Sarandí,SMSJ,0:0,2500
158,ARG2,2023,13,CD Morón,CAA,2:1,12000
