CompetitionID,ClubName,ClubID
L2,1.FC Nuremberg,4
L2,1.FC Kaiserslautern,2
L3,1.FC Saarbrücken,1
TR2,Adanaspor,6
GB1,Liverpool FC,31
L1,Bayer 04 Leverkusen,15
IT1,AC Milan,5
IT2,Brescia Calcio,19
TR1,Fenerbahce,36
IT1,Inter Milan,46
L2,SV 07 Elversberg,64
L2,FC Hansa Rostock,30
L1,Borussia Dortmund,16
L1,Bayern Munich,27
L3,SpVgg Unterhaching,66
A1,Austria Vienna,14
GB3,Derby County,22
L2,Eintracht Braunschweig,23
L1,Eintracht Frankfurt,24
C1,FC Basel 1893,26
L2,FC St. Pauli,35
L2,Hertha BSC,44
TS1,SK Slavia Prague,62
L3,Borussia Dortmund II,17
GB1,Arsenal FC,11
GB1,Everton FC,29
L2,Karlsruher SC,48
L2,Fortuna Düsseldorf,38
L2,Hamburger SV,41
L1,SC Freiburg,60
FR2,FC Girondins Bordeaux,40
SC1,Heart of Midlothian FC,43
L3,MSV Duisburg,52
L2,FC Schalke 04,33
IT1,AS Roma,12
L1,1.FC Köln,3
L2,SpVgg Greuther Fürth,65
ES1,Atlético de Madrid,13
L1,Borussia Mönchengladbach,18
L2,Hannover 96,42
BE1,RSC Anderlecht,58
C1,Servette FC,61
L3,Arminia Bielefeld,10
L1,1.FSV Mainz 05,39
L3,Rot-Weiss Essen,56
L3,SSV Ulm 1846,69
L2,VfL Osnabrück,81
L1,VfL Wolfsburg,82
SC1,Rangers FC,124
L3,SC Verl,93
UNG1,Debreceni VSC,84
ES1,FC Barcelona,131
L1,1.FC Union Berlin,89
A1,SK Sturm Graz,122
L2,SC Paderborn 07,127
ISR1,Maccabi Tel Aviv,119
C2,FC Aarau,116
L3,Preußen Münster,91
L3,SSV Jahn Regensburg,109
L1,SV Darmstadt 98,105
L3,TSV 1860 Munich,72
L1,VfB Stuttgart,79
L2,SV Wehen Wiesbaden,108
TR2,Kocaelispor,120
NL2,NAC Breda,132
L1,VfL Bochum,80
L3,SV Waldhof Mannheim,85
PL1,Widzew Lodz,88
L3,FC Erzgebirge Aue,94
L3,VfB Lübeck,78
L1,SV Werder Bremen,86
L3,SG Dynamo Dresden,129
TR1,Caykur Rizespor,126
IT2,Parma Calcio 1913,130
TR1,Besiktas JK,114
TS1,FK Chmel Blsany (- 2016),135
GB1,Tottenham Hotspur,148
ES1,Real Betis Balompié,150
TR1,Galatasaray,141
KR1,HNK Rijeka,144
PL1,Zaglebie Lubin,168
GB2,Southampton FC,180
C2,FC Vaduz,163
TR1,Samsunspor,152
BU1,Levski Sofia,156
FR1,AS Monaco,162
L1,FC Augsburg,167
